"DOC_CASE_NUMBER","SOURCEIDFULL","AGENCY","DOC_DTG","State","bigram","DOC_FORM_TYPE","DOC_OFFICE_LOCATION","COUNTRY","Unique_Cases"
1158,350277,"FBI",2016-01-02,"NJ","gayer tone","","","",1
1158,350277,"FBI",2016-01-02,"NJ","sir walter","","","",121
2898,170613,"DEA",2016-01-02,"AL",NA,"","","",NA
68508,47740,"IRS",2016-01-02,"DE","father's intentions","","","",1
68508,47740,"IRS",2016-01-02,"DE","successful visit","","","",1
68508,47740,"IRS",2016-01-02,"DE","bad weather","","","",6
68508,47740,"IRS",2016-01-02,"DE","unacknowledged friendship","","","",1
48577,327713,"DOL",2016-01-02,"NC",NA,"","","",NA
18541,277294,"ATF",2016-01-02,"AZ","ancient housekeeper","","","",1
9232,381771,"DEA",2016-01-02,"CT",NA,"","","",NA
32947,264794,"DEA",2016-01-02,"PA","sad warfare","","","",1
6206,379185,"FBI",2016-01-02,"MN",NA,"","","",NA
28198,172770,"FBI",2016-01-02,"WV","miss bertram","","","",49
133093,188737,"ATF",2016-01-02,"CA",NA,"","","",NA
67547,247523,"USSS",2016-01-02,"SC","edinburgh university","","","",1
104309,102978,"FBI",2016-01-02,"KS","gentlemen's civilities","","","",1
44088,464781,"ATF",2016-01-02,"LA",NA,"","","",NA
4368,429999,"DEA",2016-01-02,"IA","baize chapter","","","",1
4368,429999,"DEA",2016-01-02,"IA","wednesday night","","","",1
134099,409414,"DEA",2016-01-02,"NH","law's promise","","","",1
134099,409414,"DEA",2016-01-02,"NH","answer morland","","","",1
63780,352672,"ATF",2016-01-02,"MI","dear sister","","","",22
31779,221419,"DEA",2016-01-02,"IA",NA,"","","",NA
140483,368110,"FBI",2016-01-02,"OR","growing anxious","","","",1
140483,368110,"FBI",2016-01-02,"OR","emma's answer","","","",2
39939,39249,"USSS",2016-01-02,"OK",NA,"","","",NA
145809,95968,"USPIS",2016-01-02,"AL",NA,"","","",NA
149692,365128,"DEA",2016-01-02,"VA",NA,"","","",NA
36495,21611,"USSS",2016-01-02,"OH",NA,"","","",NA
100733,169146,"DOL",2016-01-02,"VA",NA,"","","",NA
141635,194657,"DOL",2016-01-02,"SC","almshouses built","","","",2
72621,330142,"FBI",2016-01-02,"TN",NA,"","","",NA
85303,35568,"USSS",2016-01-02,"WI","house observed","","","",2
